departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
Valle,Aramecina,HN17,HN1704,0.8362646204318275,0.32999999999999996,0.74,1.0,0.30000000000000004,0.05999999999999994,0.8064516129032259,0.6451612903225806,0.7049180327868854,0.8759209344115004,0.6986216751613007
El Paraiso,Yauyupe,HN07,HN0718,0.6373841087564323,1.0,1.0,1.0,0.39,0.06999999999999995,0.9354838709677419,0.6451612903225806,0.5901639344262296,0.7499550763701707,0.6930834359185849
Valle,San Francisco De Coray,HN17,HN1708,0.8663056467445781,0.30000000000000004,0.11999999999999988,1.0,0.7,0.030000000000000027,0.8387096774193548,1.0,0.8852459016393444,0.6319856244384546,0.6926527096135435
Choluteca,San Antonio De Flores,HN06,HN0612,0.8435633939005275,0.35,0.19000000000000006,1.0,0.65,0.3400000000000001,0.9354838709677419,0.6451612903225806,0.6229508196721312,0.8241689128481582,0.690946257891407
Valle,San Lorenzo,HN17,HN1709,0.9221904940064216,0.16999999999999993,0.11999999999999988,0.6288659793814433,1.0,1.0,0.4838709677419355,0.6451612903225806,0.360655737704918,0.8824797843665768,0.6893025064529288
Yoro,Arenal,HN18,HN1802,0.47609904559522925,1.0,0.7,1.0,0.63,1.0,0.9354838709677419,0.6451612903225806,0.5901639344262296,0.7867026055705302,0.6865084167321998
Francisco Morazan,La Venta,HN08,HN0808,0.8154905546804591,0.3400000000000001,0.7,1.0,0.32999999999999996,0.050000000000000044,0.8064516129032259,0.6451612903225806,0.6885245901639343,0.829559748427673,0.683875289287644
Francisco Morazan,Maraita,HN08,HN0810,0.6084401252487098,1.0,0.74,1.0,0.30000000000000004,0.42999999999999994,0.8064516129032259,0.2795698924731182,0.7704918032786887,0.8829290206648698,0.6836617176292537
Lempira,Valladolid,HN13,HN1326,0.7858765128068426,0.39,1.0,1.0,0.08000000000000007,0.050000000000000044,0.903225806451613,0.6451612903225806,0.5573770491803279,0.8519317160826595,0.6814392689119193
Intibuca,Camasca,HN10,HN1002,0.84523203221609,0.32999999999999996,1.0,1.0,0.05999999999999994,0.040000000000000036,0.8387096774193548,0.6451612903225806,0.4426229508196721,0.8581311769991015,0.6808872692187992
Lempira,Piraera,HN13,HN1315,0.8273059180740892,0.27,1.0,1.0,0.05999999999999994,0.21999999999999997,0.7096774193548385,0.6451612903225806,0.8852459016393444,0.48032345013477085,0.679352716180762
El Paraiso,San Lucas,HN07,HN0712,0.6349465854954426,1.0,0.89,1.0,0.42999999999999994,0.040000000000000036,0.7741935483870968,0.6451612903225806,0.8032786885245903,0.5762803234501348,0.6782968835402321
Lempira,Guarita,HN13,HN1307,0.7928320509443992,0.30999999999999994,1.0,1.0,0.08000000000000007,0.030000000000000027,0.8064516129032259,0.6451612903225806,0.7540983606557377,0.7212938005390835,0.6770755952403446
Lempira,Virginia,HN13,HN1327,0.8789322597626665,0.42999999999999994,0.11999999999999988,1.0,0.47,0.05999999999999994,0.9354838709677419,0.5376344086021505,0.6557377049180327,0.8099730458221024,0.6730081186791187
Intibuca,Dolores,HN10,HN1005,0.6609998700566184,0.38,1.0,1.0,0.25,1.0,0.7096774193548385,0.6451612903225806,0.7377049180327869,0.46792452830188674,0.6721516088307031
El Paraiso,Liure,HN07,HN0707,0.8295686935902469,0.32000000000000006,0.65,1.0,0.06999999999999995,0.040000000000000036,0.8387096774193548,0.2795698924731182,0.9180327868852459,0.7969451931716083,0.670347916031089
Comayagua,Lejamani,HN03,HN0309,0.6156448568812839,0.35,0.73,1.0,1.0,1.0,0.8387096774193548,0.2795698924731182,0.40983606557377045,0.8307277628032345,0.670233158014967
Comayagua,San Jose Del Potrero,HN03,HN0315,0.4721303190561477,1.0,0.5599999999999999,1.0,1.0,0.47,0.7419354838709677,0.6451612903225806,0.7377049180327869,0.7933513027852651,0.668125427299844
